,name,rating,reviews,company_type,address,since,employee
0,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
1,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
2,Cognizant,3.9,(29.4k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
3,ICICI Bank,4.0,(34.7k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
4,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1206 more",28 years old,1 Lakh+ Employees (India)
5,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
6,Infosys,3.9,(28k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
7,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
8,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
9,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
10,HCLTech,3.8,(18.3k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
11,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
12,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
13,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
14,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
15,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
16,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
17,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
18,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
19,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
20,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
21,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 479 more",49 years old,1 Lakh+ Employees (India)
22,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
23,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
24,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 637 more",16 years old,1 Lakh+ Employees (India)
25,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
26,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
27,Mahindra & Mahin...,3.9,(39.4k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
28,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
29,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
30,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
31,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
32,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
33,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
34,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India)
35,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
36,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
37,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
38,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
39,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
40,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
41,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
42,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
43,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
44,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
45,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
46,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
47,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
48,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
49,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
50,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
51,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 480 more",49 years old,1 Lakh+ Employees (India)
52,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
53,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
54,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India)
55,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
56,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
57,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
58,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
59,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
60,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
61,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
62,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
63,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
64,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India)
65,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
66,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
67,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
68,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
69,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
70,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
71,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
72,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
73,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
74,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
75,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
76,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
77,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
78,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
79,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
80,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
81,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 480 more",49 years old,1 Lakh+ Employees (India)
82,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
83,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
84,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India)
85,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
86,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
87,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
88,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
89,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
90,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
91,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
92,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
93,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
94,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India)
95,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
96,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
97,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
98,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
99,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
100,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
101,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
102,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
103,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
104,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
105,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
106,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
107,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
108,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
109,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
110,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
111,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 480 more",49 years old,1 Lakh+ Employees (India)
112,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
113,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
114,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India)
115,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
116,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
117,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
118,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
119,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
120,TCS,3.9,(49.3k Reviews),Public,"Mumbai,Maharashtra + 272 more",54 years old,1 Lakh+ Employees (India)
121,Accenture,4.1,(32.2k Reviews),Public,Dublin + 141 more,33 years old,1 Lakh+ Employees (India)
122,Cognizant,3.9,(29.5k Reviews),Private,Teaneck. New Jersey. + 97 more,28 years old,1 Lakh+ Employees (India)
123,ICICI Bank,4.0,(34.8k Reviews),Public,"Mumbai,Maharashtra + 1035 more",28 years old,1 Lakh+ Employees (India)
124,HDFC Bank,4.0,(39.6k Reviews),Public,"Mumbai,Maharashtra + 1207 more",28 years old,1 Lakh+ Employees (India)
125,Wipro,3.9,(28.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 231 more",77 years old,1 Lakh+ Employees (India)
126,Infosys,3.9,(28.1k Reviews),Public,"Bengaluru/Bangalore,Karnataka + 125 more",41 years old,1 Lakh+ Employees (India)
127,Capgemini,3.9,(23.9k Reviews),Public,Paris + 78 more,55 years old,1 Lakh+ Employees (India)
128,Tech Mahindra,3.7,(21.7k Reviews),Public,"Pune,Maharashtra + 212 more",36 years old,50k-1 Lakh Employees (India)
129,Genpact,4.0,(20.9k Reviews),Public,"New York,New York + 66 more",25 years old,50k-1 Lakh Employees (India)
130,HCLTech,3.8,(18.4k Reviews),Public,Noida + 141 more,31 years old,1 Lakh+ Employees (India)
131,Amazon,4.3,(18.1k Reviews),Public,"Seattle,Washington + 383 more",28 years old,1 Lakh+ Employees (India)
132,Axis Bank,3.9,(19k Reviews),Public,"Mumbai,Maharashtra + 1068 more",29 years old,1 Lakh+ Employees (India)
133,IBM,4.2,(15.6k Reviews),Public,"Armonk,New York + 119 more",111 years old,1 Lakh+ Employees (India)
134,Concentrix Corpo...,4.1,(15.3k Reviews),Public,"Fremont,California + 68 more",39 years old,10k-50k Employees (India)
135,Reliance jio,4.0,(15k Reviews),Public,"Navi Mumbai,Maharashtra + 959 more",15 years old,50k-1 Lakh Employees (India)
136,Larsen & Toubro ...,4.1,(24.7k Reviews),Public,"Mumbai,Maharashtra + 522 more",84 years old,10k-50k Employees (India)
137,Vodafone Idea,4.2,(13.9k Reviews),Public,"Gandhinagar,Gujrat + 561 more",4 years old,10k-50k Employees (India)
138,HDB Financial Se...,4.0,(13.3k Reviews),Private,"Ahmedabad,Gujrat + 770 more",15 years old,1 Lakh+ Employees (India)
139,Teleperformance,3.6,(14.4k Reviews),Private,Paris + 122 more,44 years old,50k-1 Lakh Employees (India)
140,Kotak Mahindra B...,3.9,(13.7k Reviews),Public,"Mumbai,Maharashtra + 469 more",19 years old,50k-1 Lakh Employees (India)
141,Reliance Industr...,4.1,(43.5k Reviews),Public,"Navi Mumbai,Maharashtra + 480 more",49 years old,1 Lakh+ Employees (India)
142,Bharti Airtel,4.1,(12.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 508 more",27 years old,10k-50k Employees (India)
143,Deloitte,4.1,(10.2k Reviews),Private,"New York,New York + 134 more",177 years old,50k-1 Lakh Employees (India)
144,Reliance Retail,4.1,(15.5k Reviews),Private,"Navi Mumbai,Maharashtra + 638 more",16 years old,1 Lakh+ Employees (India)
145,Tata Motors,4.1,(12.4k Reviews),Public,"Pune,Maharashtra + 390 more",77 years old,10k-50k Employees (India)
146,WNS,3.7,(7k Reviews),Private,"Mumbai,Maharashtra + 22 more",26 years old,10k-50k Employees (India)
147,Mahindra & Mahin...,3.9,(39.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",77 years old,1 Lakh+ Employees (India)
148,IndusInd Bank,3.8,(6.8k Reviews),Public,"Gurgaon/Gurugram,Haryana + 553 more",28 years old,10k-50k Employees (India)
149,BYJU'S,3.5,(11.6k Reviews),Private,"Bangalore,Karnataka + 189 more",11 years old,1k-5k Employees (India)
